iter	Passed	Remaining
0	177	708104
1	374	748150
2	580	773788
3	707	706444
4	916	731945
5	1114	741722
6	1268	723540
7	1487	742155
8	1700	754155
9	1903	759450
10	2106	763723
11	2329	774327
12	2565	786738
13	2817	802115
14	2891	768187
15	3123	777794
16	3312	776070
17	3473	768364
18	3705	776464
19	3970	790134
20	4210	797835
21	4446	804030
22	4710	814540
23	4843	802344
24	5085	808640
25	5285	807807
26	5540	815281
27	5626	798211
28	5858	802179
29	6005	794782
30	6290	805334
31	6534	810279
32	6807	818318
33	7019	818780
34	7198	815437
35	7430	818177
36	7687	823349
37	7922	826007
38	8160	828798
39	8419	833579
40	8666	836883
41	8897	838527
42	9002	828461
43	9265	833096
44	9518	836591
45	9692	833133
46	9925	834822
47	10164	836879
48	10432	841213
49	10666	842619
50	10891	843380
51	11128	844887
52	11342	844701
53	11399	833018
54	11509	825523
55	11765	828637
56	12021	831574
57	12200	829194
58	12431	830371
59	12521	822233
60	12802	826730
61	13179	837139
62	13251	828129
63	13525	831818
64	13672	827702
65	13937	830764
66	14290	838888
67	14588	843542
68	14683	836561
69	14915	837423
70	15166	839296
71	15416	841030
72	15673	843146
73	15924	844847
74	16185	847016
75	16458	849765
76	16679	849768
77	16961	852871
78	17314	859349
79	17661	865406
80	17952	868570
81	18238	871435
82	18495	872840
83	18741	873701
84	19087	879144
85	19441	884797
86	19790	890103
87	20139	895307
88	20507	901170
89	20856	906095
90	21204	910867
91	21569	916254
92	21935	921512
93	22271	925453
94	22425	921793
95	22753	925315
96	23104	929660
97	23404	931892
98	23760	936258
99	24194	943591
100	24502	945905
101	24850	949688
102	25269	956082
103	25630	960170
104	25930	961892
105	26255	964503
106	26612	968240
107	26946	971088
108	27409	978449
109	27844	984680
110	28185	987492
111	28562	991529
112	28935	995320
113	29325	999634
114	29711	1003720
115	30015	1004985
116	30352	1007355
117	30769	1012255
118	31185	1017077
119	31538	1019756
120	31875	1021866
121	32222	1024259
122	32616	1028094
123	32991	1031264
124	33334	1033371
125	33659	1034906
126	33871	1032953
127	34198	1034498
128	34529	1036162
129	34907	1039158
130	35208	1039860
131	35548	1041669
132	35924	1044505
133	36272	1046498
134	36603	1047933
135	36943	1049616
136	37287	1051395
137	37645	1053527
138	38013	1055913
139	38433	1059679
140	38784	1061489
141	39094	1062171
142	39524	1066050
143	39854	1067225
144	40244	1069938
145	40614	1072112
146	41028	1075383
147	41454	1078945
148	41808	1080558
149	42187	1082811
150	42535	1084238
151	42906	1086223
152	43207	1086411
153	43542	1087442
154	43962	1090547
155	44345	1092719
156	44672	1093471
157	45064	1095818
158	45399	1096728
159	45755	1098140
160	46134	1100052
161	46503	1101741
162	46874	1103411
163	47148	1102806
164	47555	1105299
165	47880	1105864
166	48281	1108172
167	48651	1109709
168	49046	1111813
169	49393	1112811
170	49749	1113980
171	50105	1115135
